source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp
1360216559256383616,20.658913,20.809061,20.033113,0.7759476,0.15014839,0.6257992
1360216559256383744,21.03773,21.423346,20.92394,0.4994049,0.3856163,0.113788605
1360216559256384768,20.876862,20.406893,20.194729,0.21216393,-0.4699688,0.6821327
1360216559257283968,15.458434,15.776989,14.972861,0.8041277,0.31855488,0.48557281
1360216559257286400,19.43717,20.353905,18.029114,2.324791,0.9167347,1.4080563
1360216559257287040,19.823505,19.733637,18.959156,0.7744808,-0.089868546,0.86434937
1360216559257288064,20.672354,20.922495,20.213465,0.70903015,0.25014114,0.458889
1360216559257288832,19.154556,19.42178,18.76842,0.65336037,0.26722336,0.386137
1360216559257289088,19.704966,19.749294,19.08542,0.6638737,0.04432869,0.619545
1360216559257289344,18.309086,18.559404,17.93054,0.6288643,0.25031853,0.37854576
1360216559257796608,20.441751,,,,,
1360216559257804672,20.074398,19.922245,19.1407,0.78154564,-0.15215302,0.93369865
1360216589320821376,16.893602,17.23667,16.361307,0.8753624,0.34306717,0.5322952
1360216589320822912,19.71679,20.002476,19.26387,0.7386055,0.2856865,0.452919
1360216589320823040,19.650448,19.663134,18.901136,0.7619972,0.012685776,0.74931145
1360216589320825216,20.08295,20.325418,19.70735,0.6180687,0.24246788,0.3756008
1360216589320826624,19.829222,20.109327,19.471754,0.63757324,0.2801056,0.35746765
1360216589320827904,20.670307,20.871098,20.120472,0.7506256,0.2007904,0.5498352
1360216589320829440,18.71297,18.907331,18.290712,0.6166191,0.19436073,0.42225838
1360216589320829568,19.46007,19.677914,18.971218,0.70669556,0.21784401,0.48885155
1360216589320830080,19.935183,20.362637,19.50994,0.8526974,0.427454,0.42524338
1360216589320830208,20.121387,20.426365,19.634874,0.79149055,0.30497742,0.48651314
1360216589320830720,19.477037,19.749197,18.993773,0.7554245,0.27215958,0.48326492
1360216589320833152,19.739037,20.0074,19.33453,0.67287064,0.26836395,0.40450668
1360216589320833664,19.964855,20.252167,19.611443,0.6407242,0.28731155,0.35341263
1360216589320833792,18.392262,18.618422,18.017962,0.60046005,0.22616005,0.3743
1360216589320834176,18.251904,18.534636,17.880878,0.6537571,0.282732,0.3710251
1360216589320835456,18.571522,18.835588,18.23845,0.59713936,0.2640667,0.33307266
1360216589320839680,20.210596,20.633776,19.804913,0.82886314,0.42317963,0.40568352
1360216589321026688,20.238173,20.670294,19.819647,0.850647,0.43212128,0.4185257
1360216589321030656,20.822296,21.146652,20.558985,0.58766747,0.32435608,0.2633114
1360216589325233536,19.647343,19.920547,19.302713,0.6178341,0.2732048,0.3446293
1360216589326334336,17.103243,17.39741,16.615467,0.78194237,0.29416656,0.4877758
1360216593615611392,20.38003,20.77708,19.950823,0.8262577,0.39705086,0.42920685
1360216593615611648,20.496422,,,,,
1360216593615616128,20.210373,20.608034,19.907673,0.70036125,0.3976612,0.30270004
1360216593615616640,20.311941,20.471502,20.036514,0.43498802,0.15956116,0.27542686
1360216593615618560,19.1186,19.4106,18.7376,0.67300034,0.29199982,0.38100052
1360216593615619712,20.53994,20.830341,20.046469,0.7838726,0.29040146,0.49347115
1360216593615619840,20.369463,20.941195,19.843294,1.0979004,0.57173157,0.5261688
