source_id,teff_gspphot,logg_gspphot,mh_gspphot
1328028661296050944,5104.1665,4.6813,-0.5216
1328028661296051200,,,
1328028661296056064,,,
1328028661298341504,,,
1328028695655787008,,,
1328029554649360640,,,
1328029554649362304,,,
1328028699960205696,5467.5347,4.6296,-0.4
1328028734318638208,,,
1328028734320003584,5693.72,4.6558,-1.0565
1328028764375286016,,,
1328028764375286144,,,
1328028764375945088,,,
1328028768680399616,,,
1328028798735032960,,,
1328028803038110208,,,
1328028833094776320,,,
1328028837397849856,,,
1328028837397851264,,,
1328028867454524928,6224.1323,4.6615,-2.1599
1328028867454531456,,,
1328028867454533760,,,
1328028867456808832,,,
1328028867460465152,,,
1328028871748459008,,,
1328028871757591808,5554.447,4.5158,-0.203
1328028871757592960,5335.223,4.7071,-1.5466
1328028871757599616,5808.1504,4.6648,-1.7861
1328028901814226816,,,
1328028901814237568,,,
1328028901814238720,,,
1328028901814244736,,,
1328028901814906496,,,
1328028936174644736,,,
1328028970533725824,,,
1328028970533727360,,,
1328028970533733632,,,
1328028974834606720,,,
1328028974834628224,,,
1328029004893483392,,,
1328029004894273792,,,
1328029039253216256,,,
1328029039253220480,,,
1328029043556322688,,,
1328029073612958208,,,
1328029073612974592,,,
1328029073612975104,,,
1328029073612977920,,,
1328029077916040064,,,
1328029077916048768,4197.732,4.6649,0.1467
1328029107972702976,,,
1328029112274715008,,,
1328029142332452608,,,
1328029142332460672,6197.885,4.6911,-3.0343
1328029142332461312,,,
1328029142332467712,,,
1328029142333083904,,,
1328029146626567680,,,
1328029146626616320,,,
1328029146633334656,,,
1328029176692163200,,,
1328029176692167296,,,
1328029176692170752,,,
1328029176692170880,,,
1328029176692172416,,,
1328029176692177408,,,
1328029211051909888,,,
1328029211051918464,6119.232,4.4926,-1.0878
1328029211051920512,,,
1328029211054274816,,,
1328029215354963584,,,
1328029245411650560,,,
1328029245411653376,,,
1328029245411661696,,,
1328029245411666304,,,
1328029245412293504,,,
1328029249712550016,,,
1328029279771403392,6258.4883,4.6195,-1.0114
1328029279771417216,,,
1328029284072300032,,,
1328029284074449152,4932.8057,4.6782,-0.7285
1328029284074458752,,,
1328029314131142912,,,
1328029314131151616,,,
1328029554649369856,,,
1328029314131152384,6242.4263,4.6633,-2.1141
1328029314131154688,,,
