source_id,ra,ra_error,dec,dec_error,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,grvs_mag,grvs_mag_error,phot_variable_flag,non_single_star,has_xp_continuous,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
6083692639300398464,201.26870257679704,0.83418185,-47.48701861290371,0.61411744,0.6331737373917568,-7.063633786190162,-5.650961900189441,20.586899,21.719221,19.65798,2.0612411,1.1323223,0.92891884,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300399872,201.27139021794568,4.804627,-47.488703542436255,3.6547282,,,,21.039652,21.72583,19.904825,1.8210049,0.6861782,1.1348267,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300404864,201.27340559888165,1.4601687,-47.48901485656459,1.1944656,1.5244965659897014,-11.914942019084194,-8.223010551393344,20.355604,20.417988,19.413664,1.004324,0.06238365,0.9419403,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300415104,201.27898262305143,0.870689,-47.49033205686781,0.9936517,-2.4881579537047998,-2.7543440314261467,-6.77313885783631,20.584087,21.336145,20.014368,1.3217773,0.752058,0.5697193,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300418688,201.27592482390875,0.77994627,-47.48644794208746,0.6464523,-0.9866842749304621,-1.2293645517868392,-6.133961339355281,20.551056,21.081776,19.945358,1.1364174,0.53071976,0.60569763,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639300422784,201.27671552843157,0.6484902,-47.48579144513358,0.6634986,-1.32083794210654,-2.5450381838716276,-6.621079890557986,20.409641,20.976654,19.987673,0.98898125,0.5670128,0.42196846,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639301076096,201.27055376890678,10.661945,-47.49693725584643,1.753856,,,,20.88847,21.118326,20.007317,1.1110096,0.22985649,0.8811531,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254251063040,201.87287926479652,0.8195602,-47.663555822652555,0.85394466,-0.32029012789891376,-0.6679661369538166,-0.8456953724859798,20.563404,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254251063168,201.87340639903408,0.49919415,-47.66366659781499,0.55166495,0.5003427570560732,-4.242395277430841,-7.499343109107842,20.205181,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254251073536,201.87400099924153,0.5189954,-47.655919706822715,0.57542336,1.314602727836652,-5.070268728966897,-6.163314864199325,20.246151,20.898008,19.58373,1.3142776,0.6518574,0.6624203,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254251075968,201.87774374553769,0.6199063,-47.657117455000694,0.6693699,-0.4297012905789868,-4.440306531039318,-8.123818175026418,20.278553,20.869967,19.971594,0.89837265,0.5914135,0.30695915,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254251076480,201.88025755736186,0.3632738,-47.65847357140591,0.4119451,0.3937974754240573,-3.1862948084908087,-5.7834666761305975,19.94949,20.565208,19.57042,0.9947891,0.61571884,0.37907028,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254253451136,201.8733582392338,0.4958344,-47.65571723032842,0.56339604,2.055387468122101,-3.4037297984028507,-6.110030162106838,20.185799,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254253452416,201.87306711733055,0.505791,-47.657831366922785,0.59778744,0.26454986720559903,-2.8198239536921967,-7.957844054715228,20.340055,20.832935,19.568195,1.26474,0.49287987,0.7718601,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254253554432,201.87503135699563,0.8093482,-47.66069371818972,0.86241895,1.896317625392911,-3.2025275163877756,-5.6486458175769805,20.580763,21.12701,20.765831,0.36117935,0.5462475,-0.18506813,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254253554560,201.87482651030962,0.9119957,-47.66165700302564,0.85713845,2.7609429368065657,-4.453554955819475,-5.1915799160028815,20.589266,21.202654,19.788969,1.4136848,0.61338806,0.8002968,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254253555072,201.87173049547874,0.5016909,-47.662256332890244,0.6555324,-0.7662742882475594,-5.002022980149181,-8.95743545046199,20.189009,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254253555840,201.8691756102428,0.5664177,-47.66416434731599,0.6550297,0.12676505734956667,-2.9861561014972997,-5.754781102660468,20.162155,20.587088,19.620613,0.96647453,0.42493248,0.54154205,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254254168576,201.8755963571711,3.684142,-47.66190728008294,1.7066383,,,,20.940704,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254254172288,201.87047124273266,1.7258166,-47.65754114500582,1.4504623,,,,20.92758,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254254326144,201.86378278919017,2.4055703,-47.66887596773809,1.2833886,,,,20.943317,21.392302,20.162125,1.2301769,0.44898415,0.7811928,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254254329856,201.87202453648433,1.8831353,-47.65778960474232,1.8091371,,,,20.83256,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254254577664,201.86301545554352,45.8143,-47.667837433551874,5.57487,,,,20.803316,21.267733,20.09271,1.1750221,0.4644165,0.7106056,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083511254256356480,201.86979646190417,0.042099737,-47.67342902767542,0.044460263,0.20012504530940853,-3.3575440465355353,-6.426747340012165,15.831105,16.261938,15.199688,1.0622501,0.43083286,0.6314173,,,,NOT_AVAILABLE,0,true,false,false,false,true,6140.9717,4.0924,-0.9194,1801.6683,0.8959,0.7474,0.4089
6083712911587574272,201.54987284982053,0.54497725,-47.452889675307624,0.6762053,,,,18.237236,17.385656,16.471989,0.9136677,-0.85157967,1.7652473,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639301084032,201.27519928604252,0.8111857,-47.49508471644297,0.6043127,-0.10076281018330402,-4.538618241645324,-4.447593121809797,20.456778,20.84369,19.942806,0.9008846,0.3869133,0.5139713,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639301092352,201.27381096843098,12.566593,-47.486782147118376,2.819777,,,,20.95566,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,,,,,,,
6083692639334027648,201.26903525829286,0.08936199,-47.49761650459273,0.07772439,0.21070365048699224,-2.948368883099178,-6.308896357100844,17.430986,17.828358,16.88396,0.944397,0.3973713,0.5470257,,,,NOT_AVAILABLE,0,true,false,false,false,true,5276.464,4.7462,-2.4249,1526.7302,0.0267,0.0219,0.0121
6083692639334031360,201.2629867477114,0.1033144,-47.49349153956386,0.08485081,0.2473470980211252,-3.6838363041010997,-7.213881890329756,17.708443,18.025112,17.2561,0.76901245,0.31666946,0.452343,,,,NOT_AVAILABLE,0,false,false,false,false,true,5683.8423,4.7325,-2.2281,2256.86,0.0056,0.0048,0.0026
6083692639334032768,201.267850101692,0.15364663,-47.49100256871073,0.12067327,0.6772073252322259,-11.901008080335387,-2.923259047300096,18.34138,18.848661,17.483717,1.3649445,0.50728226,0.8576622,,,,NOT_AVAILABLE,0,false,false,false,false,true,4261.4146,4.7998,-0.8448,1206.8191,0.0067,0.005,0.0027
