source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp
1328016429229182976,19.902998,20.670353,19.058111,1.6122417,0.76735497,0.8448868
1328016429229189376,20.08316,20.525785,19.583506,0.9422798,0.44262505,0.49965477
1328016463588928128,20.450714,20.752264,19.811804,0.9404602,0.3015499,0.6389103
1328016463588939392,18.234797,18.515146,17.83991,0.67523575,0.28034973,0.39488602
1328016497948686464,18.944271,19.388372,18.422548,0.9658241,0.44410133,0.5217228
1328016502251436544,20.832903,20.812971,20.316032,0.4969387,-0.019931793,0.5168705
1328028695655790848,20.157198,20.305021,19.77629,0.5287304,0.14782333,0.38090706
1328027149467547904,20.003328,20.36592,19.522415,0.84350395,0.3625908,0.48091316
1328027218187028992,18.777086,19.027412,18.39464,0.63277245,0.25032616,0.3824463
1328027218187036288,20.832165,21.040222,20.420486,0.6197357,0.2080574,0.4116783
1328027218187042304,21.000172,21.565771,20.389458,1.1763134,0.56559944,0.61071396
1328027222491454080,17.39191,17.753222,16.880898,0.872324,0.36131096,0.51101303
1328027222491454592,21.200384,19.849318,18.196508,1.6528091,-1.3510666,3.0038757
1328027389985727488,20.23823,20.514853,19.786283,0.72856903,0.27662277,0.45194626
1328027424345463936,20.463535,20.788975,19.718266,1.0707092,0.32543945,0.7452698
1328027424345464960,20.832546,20.770906,19.653002,1.1179047,-0.061639786,1.1795444
1328027424345466624,20.04084,21.075813,18.945837,2.1299763,1.0349731,1.0950031
1328027424345471360,19.68341,20.02309,19.303816,0.7192745,0.33967972,0.3795948
1328027424345481984,19.251766,19.557632,18.89543,0.66220284,0.30586624,0.3563366
1328027428650946048,19.830545,20.640232,18.62481,2.0154228,0.80968666,1.2057362
1328027458705210496,20.018406,20.436321,19.52715,0.90917206,0.41791534,0.4912567
1328027458705212032,20.829844,20.574957,20.141394,0.43356323,-0.25488663,0.68844986
1328027458705220736,20.474226,20.668653,19.82009,0.84856415,0.19442749,0.65413666
1328027493064956800,18.018892,19.0041,17.04987,1.9542313,0.9852085,0.96902275
1328027493064960128,21.56899,20.582443,19.338032,1.2444115,-0.98654747,2.230959
1328027493064963584,18.542578,19.11408,17.87313,1.2409496,0.5715027,0.66944695
1328027493064970112,19.708298,20.08627,19.29459,0.7916794,0.37797165,0.41370773
1328027634804799232,21.059772,21.21803,20.052055,1.1659756,0.15825844,1.0077171
1328027699223347200,19.83117,20.21112,19.299698,0.9114227,0.37995148,0.53147125
1328027699223353600,19.742405,20.15095,19.394096,0.7568531,0.40854454,0.34830856
1328027699225839104,20.474733,21.207752,19.612791,1.5949612,0.7330189,0.8619423
1328027733583088256,20.72039,21.018513,20.114685,0.90382767,0.2981224,0.60570526
1328027733583088384,18.16986,18.42203,17.751276,0.6707535,0.25216866,0.41858482
1328027733583089280,19.065268,19.7856,18.290134,1.4954662,0.7203331,0.77513313
1328027733583092096,19.55582,20.409021,18.784971,1.6240501,0.8532009,0.7708492
1328027733583097472,20.410805,20.72061,19.920298,0.80031204,0.30980492,0.49050713
1328027733585521792,19.595644,19.819672,19.173983,0.645689,0.22402763,0.42166138
1328027737876955904,19.107376,20.059372,17.264046,2.7953262,0.95199585,1.8433304
1328027737886185472,17.506592,18.231876,16.684927,1.5469494,0.7252846,0.8216648
1328027737886189952,19.290432,,,,,
1328027737887857792,21.104588,21.505396,20.208878,1.2965183,0.40080833,0.89571
1328027767942840448,19.787207,19.997057,19.423576,0.5734806,0.20985031,0.3636303
1328027836662305920,20.492304,20.741238,20.023716,0.71752167,0.24893379,0.46858788
1328027905381800448,19.818508,21.246984,18.656866,2.5901184,1.4284763,1.1616421
1328027905381801984,21.412455,20.507465,19.399874,1.1075916,-0.90498924,2.0125809
1328027905381806976,18.534935,18.774809,18.175869,0.5989399,0.23987389,0.359066
