source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp
4.68963026028809E+018,18.988342,19.471947,18.462635,1.0093117,0.48360443,0.52570724
4.68963026028908E+018,18.42677,18.804419,17.944237,0.8601818,0.3776493,0.4825325
4.68963026028908E+018,17.611284,17.916235,17.151234,0.7650013,0.3049507,0.46005058
4.68963026028909E+018,18.257233,18.55863,17.728424,0.8302059,0.30139732,0.5288086
4.68963026030193E+018,18.768635,19.226952,18.305796,0.9211559,0.4583168,0.46283913
4.68963026459171E+018,16.846361,17.255386,16.266151,0.9892349,0.4090252,0.58020973
4.68963026459171E+018,14.299187,14.802928,13.63602,1.1669083,0.50374126,0.663167
4.68963026459171E+018,17.620144,17.904724,17.162754,0.74197006,0.28458023,0.45738983
4.68963026459171E+018,18.264313,18.770927,17.604254,1.1666737,0.5066147,0.660059
4.68963026459172E+018,17.100777,17.431057,16.601765,0.8292923,0.3302803,0.499012
4.68963026459173E+018,18.05522,18.389063,17.575716,0.81334686,0.33384323,0.47950363
4.68963026459173E+018,18.024483,18.368122,17.552963,0.81515884,0.34363937,0.47151947
4.68963029464883E+018,17.221748,17.543299,16.763847,0.7794514,0.32155037,0.457901
4.68963029464883E+018,18.028065,18.363491,17.56759,0.79590034,0.33542633,0.460474
4.68963029464883E+018,17.460032,17.734547,16.953289,0.7812576,0.27451515,0.5067425
4.68963029464883E+018,17.951464,18.282135,17.490221,0.791914,0.3306713,0.46124268
4.68963029464884E+018,18.771137,19.157675,18.275366,0.88230896,0.38653755,0.4957714
4.68963029464884E+018,18.91329,19.359653,18.347311,1.0123425,0.44636345,0.565979
4.68963029464884E+018,18.6235,18.997522,18.140844,0.856678,0.37402153,0.48265648
4.68963029464923E+018,18.285091,18.632467,17.807508,0.8249588,0.34737587,0.47758293
4.68963029466171E+018,18.837343,19.25821,18.348948,0.9092617,0.420866,0.4883957
4.68963029895143E+018,16.62789,17.340761,15.816967,1.5237942,0.71287155,0.8109226
4.68963029895143E+018,16.931847,17.62255,16.146597,1.4759521,0.69070244,0.7852497
4.68963029895143E+018,18.133173,18.69348,17.419477,1.2740021,0.56030655,0.7136955
4.68963029895144E+018,17.46058,17.773268,16.988287,0.7849808,0.31268692,0.47229385
4.68963029895144E+018,17.719147,18.04546,17.270214,0.77524567,0.32631302,0.44893265
4.68963032900857E+018,18.804152,19.22368,18.31243,0.91125107,0.41952896,0.4917221
4.68963032900858E+018,18.199211,18.535778,17.692894,0.84288406,0.33656693,0.50631714
4.68963032900858E+018,18.643877,18.83474,17.957209,0.87753105,0.19086266,0.6866684
4.68963032900858E+018,18.194365,18.517063,17.68402,0.83304405,0.3226986,0.51034546
4.68963032902141E+018,18.880594,19.22266,18.377117,0.8455429,0.3420658,0.5034771
4.68963032902308E+018,18.03865,18.346228,17.537764,0.80846405,0.30757713,0.5008869
4.68963033330189E+018,18.91773,19.22023,18.313234,0.9069958,0.30249977,0.604496
4.68963033331117E+018,18.656456,19.049902,18.146921,0.9029808,0.39344597,0.50953484
4.68963033331118E+018,17.948402,18.290007,17.490057,0.79994965,0.34160423,0.4583454
4.68963033331118E+018,17.209002,17.52979,16.737272,0.7925186,0.32078934,0.47172928
4.68963033331118E+018,15.742426,16.202433,15.12037,1.0820627,0.4600067,0.622056
4.68963033331118E+018,16.928993,17.324545,16.341106,0.9834385,0.39555168,0.5878868
4.68963033331119E+018,18.673983,19.10379,18.173843,0.9299469,0.42980766,0.50013924
4.68963036336832E+018,18.686232,19.083538,18.192377,0.89116096,0.39730644,0.49385452
4.68963036336832E+018,17.758335,18.049881,17.315979,0.733902,0.29154587,0.4423561
4.68963036336832E+018,18.298624,18.673903,17.816414,0.85748863,0.37527847,0.48221016
4.68963036336832E+018,18.012335,18.346481,17.542624,0.8038578,0.3341465,0.4697113
4.68963036336833E+018,18.396042,18.750338,17.923166,0.8271713,0.35429573,0.4728756
4.6896303676709E+018,18.338835,18.705692,17.85849,0.8472023,0.36685753,0.48034477
4.6896303676709E+018,16.684855,17.112814,16.103512,1.0093021,0.42795944,0.5813427
4.68963039772702E+018,18.778746,19.183233,18.248106,0.93512726,0.4044876,0.53063965
4.68963039772721E+018,18.74071,19.145563,18.166424,0.9791393,0.40485382,0.5742855
4.68963039772797E+018,17.896044,18.193892,17.427319,0.76657295,0.29784775,0.4687252
4.68963039772798E+018,17.845778,18.182964,17.38167,0.8012943,0.3371868,0.4641075
4.68963039772799E+018,18.723825,19.090065,18.20961,0.880455,0.36623955,0.51421547
4.68963039772844E+018,18.60559,19.049908,18.114094,0.9358139,0.44431686,0.49149704
4.68963039774105E+018,17.575638,17.710495,16.938356,0.7721386,0.13485718,0.6372814
4.68963039774109E+018,18.490372,18.836267,18.010897,0.8253708,0.34589577,0.47947502
4.68963040203073E+018,18.920923,19.069197,18.101028,0.96816826,0.14827347,0.8198948
4.68963040203073E+018,18.062773,18.415674,17.594734,0.82094,0.35290146,0.46803856
4.68963040203074E+018,15.487071,15.952478,14.856415,1.0960636,0.46540737,0.63065624
4.68963040203075E+018,17.648487,17.971851,17.189823,0.7820282,0.32336426,0.45866394
4.68963043208765E+018,11.632567,11.920634,11.172197,0.7484369,0.28806686,0.46037006
4.68963043210086E+018,18.789434,19.129133,18.278227,0.8509064,0.3396988,0.5112076
4.68963043210087E+018,17.871689,18.191864,17.423006,0.76885796,0.32017517,0.44868279
4.68963043639042E+018,13.86378,14.30819,13.254067,1.0541229,0.44441032,0.6097126
4.68963043639043E+018,18.150818,18.496876,17.682014,0.8148613,0.3460579,0.4688034
4.68963043639044E+018,17.13918,17.72392,16.428959,1.2949619,0.5847416,0.71022034
4.68963043639062E+018,15.205046,15.665516,14.580185,1.085331,0.4604702,0.62486076
4.68963043639063E+018,17.220842,17.543764,16.74373,0.80003357,0.32292175,0.47711182
4.68963043639063E+018,17.383215,17.443945,16.685984,0.7579613,0.06072998,0.6972313
4.68963043639388E+018,18.611273,18.787209,17.848995,0.93821335,0.17593575,0.7622776
4.68963046644746E+018,18.976728,19.424025,18.464008,0.96001625,0.44729614,0.5127201
4.68963046644747E+018,18.292107,18.70546,17.750645,0.9548149,0.41335297,0.54146194
4.68963046644747E+018,17.300495,17.628464,16.839062,0.789402,0.3279686,0.4614334
4.68963046644748E+018,17.929356,18.26797,17.447876,0.82009315,0.3386135,0.48147964
4.68963047075017E+018,18.392693,19.019634,17.722649,1.2969856,0.6269417,0.67004395
4.68963047075017E+018,17.125957,17.441212,16.622805,0.81840706,0.3152542,0.50315285
4.68963047075019E+018,17.429562,18.12189,16.641878,1.480011,0.6923275,0.7876835
4.68963047075019E+018,17.411152,17.730034,16.9414,0.78863335,0.318882,0.46975136
4.6896304707502E+018,18.079546,18.412445,17.625172,0.7872734,0.3328991,0.4543743
4.68963050080722E+018,18.018812,18.377213,17.542473,0.8347397,0.35840034,0.47633934
