source_id,teff_gspphot,logg_gspphot,mh_gspphot
4689626381940058368,,,
4689626381940059648,,,
4689626381940061184,,,
4689626381940897664,,,
4689626381940897792,,,
4689626381940954624,,,
4689626381940955648,,,
4689626381940956032,,,
4689626381940956160,,,
4689626381940956800,,,
4689626381940957312,,,
4689626381940957568,,,
4689626381941075968,,,
4689626381941101824,,,
4689626381945956992,,,
4689626381945958656,,,
4689626381945963136,,,
4689626381945963264,,,
4689626381945965184,,,
4689626412008064256,,,
4689626412008067840,,,
4689626412015383552,,,
4689626412015384448,,,
4689626412015793280,,,
4689626412015794432,,,
4689626412015794560,,,
4689626412015797248,,,
4689626412015848448,,,
4689626412015850240,,,
4689626412015851136,,,
4689626412015853312,,,
4689626412015854464,,,
4689626416289648256,,,
4689626416289656960,,,
4689626416299747840,,,
4689626416299747968,,,
4689626416305712256,,,
4689626446352852736,,,
4689626450649229440,,,
4689626450649236864,,,
4689626450649254528,,,
4689626450649254656,,,
4689626450649274112,,,
4689626450649340416,,,
4689626450649341696,,,
4689626450649343104,,,
4689626450650817536,,,
4689626450650823936,,,
4689626450650824064,,,
4689626450650919936,,,
4689626450650924928,,,
4689626450650927488,,,
4689626450650930048,,,
4689626450650935680,,,
4689626450659380864,,,
4689626450659381120,,,
4689626450659381248,,,
4689626450660272128,,,
4689626480734450048,,,
4689626480734818176,,,
4689626480734819456,,,
4689626485009050240,,,
4689626485009092480,,,
4689626485009096064,,,
4689626485019165952,,,
4689627305368513536,,,
4689627305368514944,,,
4689627305368516352,,,
4689627305368516608,,,
4689627305368554752,,,
4689627305368555008,,,
4689627305368558208,,,
4689626485020175616,,,
4689626485025061248,,,
4689626515087454080,,,
4689626515087476096,,,
4689626515087479552,,,
4689626515095142144,,,
4689626515095143296,,,
4689626519370279296,,,
4689626519370279424,,,
4689626519370279552,,,
4689626519378877184,,,
4689626519384801664,,,
4689626519384808192,,,
4689626549431269760,,,
4689626549432005760,,,
4689626549455538688,,,
4689626553738276608,,,
4689626553744394240,,,
4689626553744394752,,,
4689626588087562240,,,
4689626588087566720,,,
4689626588087569024,,,
4689626588087569152,,,
4689626588087572480,,,
4689626588087573248,,,
4689626588087573504,,,
4689626618174917760,,,
4689626618174925952,,,
4689626618174927104,,,
4689626618174932096,,,
4689626618174959872,,,
4689626622447305984,,,
4689626622447306112,,,
4689626622447342592,,,
4689626622457719808,,,
4689626622459098496,,,
4689626622459130880,,,
4689626622459131264,,,
4689626622463866368,,,
4689626652534866944,,,
4689626652535006720,,,
4689626652535009792,,,
4689626652535010944,,,
4689626652535013760,,,
4689626652535014016,,,
4689626652535016192,,,
4689626652535016320,,,
4689626652535017344,,,
4689626652535019136,,,
4689626652535019520,,,
4689626721254600576,,,
4689626721254601856,,,
4689626725528883584,,,
4689626725528886016,,,
4689626725528886144,,,
4689626725528886400,,,
4689626725536885632,,,
4689626725536886144,,,
4689626755606072320,,,
4689626755614141696,,,
4689626755614286848,,,
4689626789965991296,,,
4689626789966003968,,,
4689626794245854336,,,
4689626794245890944,,,
4689626794245892864,,,
4689626794256332160,,,
4689626824325202560,,,
4689626824325203712,,,
4689626824325212160,,,
4689626824332362240,,,
4689626824332875392,,,
4689626858693314176,,,
4689626858693314944,,,
